title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,adult,genre_names,rating_group
Constantine,en,2005-02-08,119.677,5863,7,100000000,230884728,121,FALSE,"Action, Fantasy, Horror",high
Antlers,en,2021-10-28,119.584,782,6.3,0,18312201,99,FALSE,"Drama, Horror, Mystery",high
Wrong Turn,en,2021-01-26,119.017,804,6,0,3777969,110,FALSE,"Horror, Thriller",low
The Meg,en,2018-08-09,116.512,6068,6.2,150000000,530243742,113,FALSE,"Action, Horror, Science Fiction",high
Cult of Chucky,en,2017-10-23,116.318,959,5.8,6500000,2200000,91,FALSE,"Horror, Thriller",low
The Addams Family,en,2019-10-10,116.021,1851,6.6,40000000,203044905,86,FALSE,"Animation, Comedy, Family, Fantasy, Horror",high
Meander,fr,2021-05-26,112.295,284,6,0,700000,91,FALSE,"Drama, Horror, Science Fiction, Thriller",low
Legion,en,2010-01-21,110.404,2190,5.8,26000000,67918658,100,FALSE,"Action, Fantasy, Horror",low
Halloween,en,1978-10-24,109.29,4421,7.6,325000,70274000,91,FALSE,"Horror, Thriller",high
Child's Play,en,1988-11-09,108.342,2335,6.6,9000000,44196684,87,FALSE,Horror,high
A Haunted House,en,2013-01-11,108.186,1499,5.8,2500000,60141683,86,FALSE,"Comedy, Horror",low
The First Purge,en,2018-07-04,108.11,3413,6,13000000,137056262,97,FALSE,"Action, Horror, Thriller",low
It,en,2017-09-06,106.786,16900,7.2,35000000,701842551,135,FALSE,"Fantasy, Horror",high
The Remaining,en,2014-08-25,106.016,285,5.7,0,1169603,88,FALSE,"Horror, Thriller",low
Abraham Lincoln: Vampire Hunter,en,2012-06-20,103,2855,5.7,69000000,116471580,94,FALSE,"Action, Fantasy, Horror",low
Barbarian,en,2022-09-08,102.826,61,7.2,10500000,30000000,103,FALSE,"Horror, Mystery, Thriller",high
Seed of Chucky,en,2004-11-11,102.731,1252,5.4,12000000,24829644,87,FALSE,"Comedy, Horror",low
The Exorcist,en,1973-12-26,101.991,6535,7.7,11000000,441306145,122,FALSE,Horror,high
Host,en,2020-12-04,101.167,599,6.5,0,26745,57,FALSE,"Horror, Mystery, Thriller",high
Army of the Dead,en,2021-05-14,99.777,3233,6.3,0,780000,148,FALSE,"Action, Crime, Horror, Thriller",high
Child's Play 2,en,1990-11-09,97.858,1434,6.2,13000000,35763605,84,FALSE,"Horror, Thriller",high
Halloween,en,2007-08-31,97.161,1873,6.2,15000000,80460948,109,FALSE,Horror,high
Come Play With Me,es,2021-02-25,96.667,155,7,0,1753826,80,FALSE,Horror,high
Titane,fr,2021-07-14,96.198,903,6.5,6600000,5115725,108,FALSE,"Drama, Horror, Thriller",high
Carriers,en,2009-09-04,95.417,1174,6.1,0,5802422,84,FALSE,"Action, Drama, Horror, Science Fiction, Thriller",high
Train to Busan,ko,2016-07-20,94.624,5939,7.8,8500000,87547518,118,FALSE,"Action, Horror, Science Fiction, Thriller",high
Saw,en,2004-10-01,93.053,7650,7.4,1200000,103911669,103,FALSE,"Crime, Horror, Mystery",high
The Purge: Election Year,en,2016-06-29,91.119,4614,6.4,10000000,118587880,105,FALSE,"Action, Horror, Thriller",high
